date,AQI,temperature_c,humidity_percent,wind_speed_kmph
2022-01-01,132,33.6,75,3.1
2022-01-02,465,15.8,29,3.0
2022-01-03,378,35.4,59,6.8
2022-01-04,300,33.9,36,15.1
2022-01-05,136,5.3,77,1.0
2022-01-06,101,25.4,25,5.5
2022-01-07,218,10.6,58,3.7
2022-01-08,50,39.6,37,19.2
2022-01-09,132,39.9,92,14.3
2022-01-10,151,21.7,91,5.0
2022-01-11,496,22.8,61,4.5
2022-01-12,244,17.1,23,17.2
2022-01-13,360,33.7,39,4.2
2022-01-14,488,19.3,47,19.9
2022-01-15,117,15.7,59,6.0
2022-01-16,402,22.3,84,2.1
2022-01-17,129,8.7,63,14.0
2022-01-18,389,34.9,42,12.4
2022-01-19,181,5.5,76,20.0
2022-01-20,160,30.8,66,16.1
2022-01-21,179,12.3,32,8.9
2022-01-22,338,14.3,35,13.7
2022-01-23,287,30.4,74,16.4
2022-01-24,373,44.7,84,10.5
2022-01-25,443,36.1,35,5.8
2022-01-26,323,14.0,56,4.6
2022-01-27,415,12.0,71,6.3
2022-01-28,221,39.6,29,17.0
2022-01-29,473,22.8,57,7.9
2022-01-30,306,10.5,63,6.1
2022-01-31,190,39.5,93,16.2
2022-02-01,489,37.6,73,1.1
2022-02-02,343,44.4,70,12.1
2022-02-03,51,41.4,71,17.5
2022-02-04,282,39.1,89,8.5
2022-02-05,265,7.1,78,5.8
2022-02-06,374,9.2,32,10.1
2022-02-07,78,27.8,60,14.5
2022-02-08,88,26.3,31,10.6
2022-02-09,199,23.3,69,0.6
2022-02-10,217,20.9,76,2.0
2022-02-11,493,22.2,69,14.6
2022-02-12,300,27.8,76,8.3
2022-02-13,219,5.1,73,15.8
2022-02-14,475,15.4,85,13.2
2022-02-15,204,25.7,27,11.8
2022-02-16,475,33.9,82,18.1
2022-02-17,80,12.0,28,0.9
2022-02-18,393,26.9,79,3.5
2022-02-19,84,33.6,82,12.7
2022-02-20,273,22.8,91,1.8
2022-02-21,349,6.1,22,13.1
2022-02-22,160,23.0,92,19.7
2022-02-23,336,16.9,32,17.6
2022-02-24,164,42.2,28,12.0
2022-02-25,50,10.0,71,17.9
2022-02-26,358,31.1,81,2.8
2022-02-27,196,7.1,27,9.4
2022-02-28,303,22.8,64,8.9
2022-03-01,417,27.2,72,7.1
2022-03-02,118,16.9,82,0.5
2022-03-03,345,23.2,76,17.9
2022-03-04,43,11.5,73,15.7
2022-03-05,271,17.2,38,13.2
2022-03-06,294,29.8,86,3.0
2022-03-07,375,17.1,65,7.9
2022-03-08,82,41.0,29,18.5
2022-03-09,415,30.1,37,12.5
2022-03-10,369,22.5,31,12.3
2022-03-11,121,6.6,68,18.3
2022-03-12,396,25.0,42,11.4
2022-03-13,473,35.6,81,12.2
2022-03-14,484,15.6,30,7.2
2022-03-15,457,37.3,92,7.7
2022-03-16,293,15.1,75,13.9
2022-03-17,460,37.9,74,6.7
2022-03-18,64,8.4,44,11.4
2022-03-19,235,39.6,28,5.9
2022-03-20,110,25.0,31,3.7
2022-03-21,449,16.9,30,9.4
2022-03-22,79,15.6,57,4.7
2022-03-23,389,22.3,47,18.0
2022-03-24,417,45.0,27,6.4
2022-03-25,31,13.8,93,12.1
2022-03-26,419,9.1,66,5.6
2022-03-27,83,28.4,55,5.5
